id	name	url	retrieved_utc	face	reason_code	judgment_call	reason_free_text
X-S3-03	npm "mood chart" hits: @univerjs-pro/*, @syncfusion/ej2-charts, react-minimal-pie-chart, react-native-chart-kit, chartjs-chart-matrix, chartjs-chart-sankey, chartjs-chart-treemap, react-gauge-chart, react-organizational-chart, uplot, d3-org-chart, scichart, @progress/kendo-angular-charts, victory-chart, react-native-gifted-charts, @syncfusion/*	https://registry.npmjs.org/-/v1/search?text=mood+chart	2026-08-26T03:30Z	S3	E2	NO	Zero affect-related packages. Every hit is a generic charting library matched on the word "chart". Whole-query null result.
X-S3-04	PyPI: text2emotion 0.0.5, NRCLex 4.1.0, pysentimiento 0.7.3, vaderSentiment 3.3.2, opensmile 2.6.0	https://pypi.org/pypi/{name}/json	2026-08-26T03:38Z	S3	E3	NO	All estimate affect but expose scores only as return values; none contains a rendering component. Verified by package summary and, for each, absence of any drawing module. Not end-user display components.
X-S3-05	PyPI: scattertext 0.2.2	https://pypi.org/pypi/scattertext/json	2026-08-26T03:38Z	S3	E2	NO	Visualises term associations in a corpus, not a per-subject affect state. Construct mismatch.
X-S3-06	PyPI: plotly 7.0.0, gradio 6.26.0, streamlit 1.62.0	https://pypi.org/pypi/{name}/json	2026-08-26T03:38Z	S3	E2	YES	These are the renderers actually used by most of the emotion demos surfaced in S1 and S2 (gradio gr.Label in particular renders a label-to-confidence dict as a ranked bar list, deterministically and from public source). They are excluded because they are construct-agnostic: nothing in them is specific to affect, so "the display target is emotion" (frame 3-1) fails at the library level. JUDGMENT CALL, and an important one - if the PI prefers, gr.Label could be audited as a generic primitive instantiated by many emotion demos, which would be the cleanest available instance of "one family with multiple implementations". Flagged for PI decision rather than silently dropped.
X-S1-01	S1 query "affect display" — entire result set (grafana-zabbix, tidyverse/ggplot2, tibble, remacs, nodemcu-firmware, prospector, twitter/communitynotes, RT, GRASS, roll20-api-scripts Radar.js x6, metamorph.js, pandocs, xsos, summarytools, emacs-w64, esphome-lvgl, obsidian_project-browser, ...)	GitHub code search, frozen query "affect display"	2026-08-26T02:14Z	S1	E2	NO	30 of 30 hits match the English verb "affect" in prose ("options that affect display"). Zero affect-related hits. This frozen sub-query is a complete null result and should be recorded as such.
X-S1-02	S1 residual: hits whose matched file is a README.md, CHANGELOG, docs page or .txt rather than rendering code (QuoteMe, AnkitKumarIISERB/Depression_detector, greatakela/emorec, harshdeepsingh2005/FaceSense, NehaMathews/MoodMuse, victor369basu/facial-emotion-recognition, madhuraborikar/emotion_detection_nlp, excii05/EmotionLink, VinamraSaurav/emotion-recognition-frontend, sajeerrr/Moodify, Bunnydavid27/Emotion_detector, tanisha346gfd/Emotion-AI-Support-, AaKaShhhhhhhhh/moody, and ~90 further prose-only hits across the 7 frozen sub-queries)	GitHub code search, frozen S1 queries	2026-08-26T02:14Z	S1	E1	NO	The phrase appears in prose describing a feature, not in code that performs the state-to-drawing mapping. No mapping is readable without opening and interpreting an unspecified other file. Grouped as one row because the exclusion reason is identical and the count is large; the per-query raw JSON is preserved in raw_s1/ so the grouping is auditable.
X-S1-03	AliH-0/Neeno — src/components/emotion-gauge.tsx	https://github.com/AliH-0/Neeno	2026-08-26T03:47Z	S1	E6	NO	Named as a gauge and surfaced by the frozen "emotion gauge" query, but the component takes NO input: the needle angle is the literal style {transform: "rotate(-30deg)"} and the label is the literal string "Calm". There is no state, therefore no state-to-drawing mapping. Static mock-up, not a display component.
X-S2-01	S2 query "mood-tracker" — self-report mood loggers as a class (journiv, nightlio, star_book, pixy-mood-tracker-app, obsidian-mood-tracker, tempo, dimdenGD/mood-tracker, broodl, baseline, benji6/moodtracker, MiniMoods, year-in-pixels, qiz-li/feeling, SoulScribe, MyMood, bytesbybianca/mood-tracker, stimmungskalender, HealthLog, coffeelings, and the remainder of the 40-hit result set)	GitHub repo search, frozen query "mood-tracker"	2026-08-26T02:13Z	S2	E6	YES	Excluded on TWO independent grounds, both flagged for PI confirmation. (1) The displayed state is a value the USER SELECTED, not an estimate. Population definition 1 requires "感情状態の推定結果" (the result of estimating an emotional state); a self-report logger has no estimator, no distribution and no annotation panel, so the m* argument has no upstream to compare against. (2) Most render a calendar or trend view, i.e. pi_traj, which design doc v7 places outside this submission's audit family. NOTE: this single decision removes the largest single block of candidates in the whole enumeration (roughly 35 of 40 hits on the frozen query that the frame itself specified), so it materially shapes the total. It is recorded here in full precisely so it can be reversed if the PI disagrees.
X-S2-02	S2 query "sentiment-dashboard" — market and financial sentiment dashboards (ai-trading-agent-gemini, vibe-astock, twitter-sentiment-analysis, tweet-sense, Nifty-500-Live-Sentiment-Analysis, fin-news-sentiment, pulse-trading, TradeSight-Dashboard, market-pulse, dow_jones_live_stock_sentiment_treemap, nse-sentiment-analyzer, invest-system, Pulse-Engine, FinTechForge, and the remainder)	GitHub repo search, frozen query "sentiment-dashboard"	2026-08-26T02:13Z	S2	E2	NO	The construct displayed is market or price expectation aggregated over documents, not the affective state of an identified person. Roughly 35 of 40 hits on this frozen query are financial. Construct mismatch with inclusion rule 3-1.
X-S2-03	S2 query "affective-computing ui"	GitHub repo search, frozen query "affective-computing ui"	2026-08-26T02:13Z	S2	E4	NO	ZERO HITS. The frozen query returned an empty result set. Recorded as a genuine null face, not as an unexecuted query.
X-S2-04	S2 query "emotion-recognition demo" — downstream demos whose rendering is performed by an upstream library already audited (GitZhiQing/emotion-recognition-demo -> deepface >= 0.0.93; huajiejin/facial-emotion-recognition -> face-api.js ^0.22.2; techmn, savina01, nkegke, amazing-rando, tohoilam, kejiongli, haldosomoza, wubowen416, lilith0vhannisyan, Bpavankumarreddy, syucheng95-ctrl, AndyGitLucky, Kris1807)	GitHub repo search, frozen query "emotion-recognition demo"	2026-08-26T02:13Z	S2	E5	YES	Counted at the upstream, per the frame's E5 instruction to count the upstream once. NOTE THIS IS AN EXTENSION OF E5: the frame defines E5 as forks and mirrors, whereas these are dependants, not forks. The extension is applied because auditing both a library's renderer and every demo that calls it would count the same mapping repeatedly. Dependencies were verified, not assumed (pyproject.toml and package.json read at the pinned commits). JUDGMENT CALL - flagged for PI confirmation. Repos in this group that write their OWN renderer were NOT excluded here and were audited separately (see C-07).
X-S4-09	IBM watsonx Natural Language Understanding — Emotion feature	https://cloud.ibm.com/apidocs/natural-language-understanding	2026-08-26T04:35Z	S4	E6	YES	Publicly documented without login: "Detects anger, disgust, fear, joy, or sadness that is conveyed in the content", with per-emotion scores, also available per entity and per keyword. Excluded for the same reason as X-S4-01 and X-S4-02: this is an API output specification with no published rendering. JUDGMENT CALL.
X-S4-10	AssemblyAI — Sentiment Analysis	https://www.assemblyai.com/docs/audio-intelligence/sentiment-analysis	2026-08-26T04:32Z	S4	E6	NO	Public docs, no login. Returns sentiment in {POSITIVE, NEUTRAL, NEGATIVE} with a confidence score per utterance. Zero occurrences of any display, render or UI description in the retrieved page. API output spec only.
X-S4-11	iMotions — Facial Expression Analysis module	https://imotions.com/products/imotions-lab/modules/fea-facial-expression-analysis/	2026-08-26T04:30Z	S4	E1	NO	Public marketing page describing 7 core emotions (joy, anger, fear, surprise, sadness, contempt, disgust) plus valence and engagement, but with no description of how any value is drawn. Screenshots only. Mapping not readable.
X-S4-12	Smart Eye / Affectiva — Affdex emotion metrics	https://knowledge.affectiva.com/docs/what-are-the-emotions-affectiva-detects ; https://developer.affectiva.com/ ; https://www.smarteye.se/solutions/behavioral-research/affectiva-affdex/	2026-08-26T04:42Z	S4	E4	NO	knowledge.affectiva.com returned HTTP 401 (authentication required); developer.affectiva.com did not resolve; the Smart Eye product pages returned HTTP 404. No publicly reachable specification on the retrieval date. NOTE: the design doc names "Affectiva の valence 単軸バー" as an intended vendor example - that example is NOT currently citable and the design doc needs correcting.
X-S4-13	Grammarly — tone detector	https://support.grammarly.com/hc/en-us/articles/360034328531-Using-the-tone-detector-in-the-Grammarly-browser-extension	2026-08-26T04:50Z	S4	E6	YES	The display itself is documented (an emoji indicator, with a breakdown panel) and the vendor states the model recognises more than 40 tones, each with its own emoji. However no published table maps the full tone set to its glyphs; the individual tone-to-emoji pairings I could find (formal = button-up shirt, confident = handshake, joyful = smiley) come from third-party journalism, not from vendor documentation. The mapping is therefore not readable in full from the vendor spec. JUDGMENT CALL - would become a strong candidate if a complete vendor-published tone/emoji table exists.
X-S4-14	Salesforce Einstein Conversation Insights sentiment; Zoom Revenue Accelerator sentiment; Talkwalker; Brandwatch	https://help.salesforce.com/s/articleView?id=sales.ec_sentiment_analysis.htm ; https://support.zoom.com/hc/en/article?id=zm_kb ; https://www.talkwalker.com/help ; https://help.brandwatch.com/hc/en-us/articles/360000010627-Sentiment	2026-08-26T04:38Z	S4	E4	NO	Salesforce and Zoom returned HTTP 200 but rendered no retrievable article text (client-side rendered help portals, 64 and 96 characters of extracted text respectively). Talkwalker returned HTTP 404. Brandwatch did not resolve. No reachable specification.
X-S4-15	MorphCast — docs.morphcast.com and npm @morphcast/sdk	https://docs.morphcast.com/ ; https://www.npmjs.com/package/@morphcast/sdk	2026-08-26T04:20Z	S4	E5	NO	Returned HTTP 403 and HTTP 403 respectively, but this is not a loss: the same vendor's display specification WAS reached through the public interpretation guide and is included as V-06. Logged so the failed paths are on record and are not mistaken for a separate uncounted component.
X-S5-01	S5 repo-search queries "emotion visualization paper implementation", "affective computing visualization", "valence arousal visualization"	GitHub repo search	2026-08-26T04:33Z	S5	E4	NO	ZERO HITS on all three. GitHub repository search ANDs multi-word phrases against name and description, so descriptive multi-word S5 queries return nothing. Recorded as a null result of the search MECHANISM, not evidence that no academic artifacts exist. The productive S5 route was to resolve named published artifacts directly, which is what was done.
X-S5-02	ihp-lab/LibreFace (Chang et al., WACV 2024)	https://github.com/ihp-lab/LibreFace	2026-08-26T04:35Z	S5	E1	NO	245 stars, actively maintained. Repository tree at commit b98b2598f2ef14979f17a71b8fd280326d4d9748 contains no rendering module; the only display-related file is media/ConsoleApplication.png, a screenshot. State-to-drawing mapping not readable from source.
X-S5-03	TadasBaltrusaitis/OpenFace	https://github.com/TadasBaltrusaitis/OpenFace	2026-08-26T04:35Z	S5	E2	YES	7,739 stars and it does render intensity bars in its GUI, but the rendered construct is Action Unit intensity (a facial-muscle measurement), not an emotional state. Inclusion rule 3-1 requires the display target to be emotion, affect, valence/arousal or an emotional reaction. JUDGMENT CALL - excluded on construct, and recorded because it would otherwise be the largest artifact in this face.
X-S5-04	sb-ai-lab/EmotiEffLib	https://github.com/sb-ai-lab/EmotiEffLib	2026-08-26T04:35Z	S5	E3	NO	1,056 stars. The library exposes engines and feature extractors; the only UI is an Android demo app under training_and_examples/mobile_apps/demo bundled as a build example rather than a shipped display component, and its emotion rendering is not separable from the example scaffolding. Not an end-user display component of the library.
